Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,955;1,016;0,942;0,249;81,07;101,56;298,90
1,960;1,016;0,942;0,244;80,92;101,56;298,90
1,965;1,011;0,942;0,249;81,07;101,07;298,90
1,970;1,016;0,937;0,244;80,92;101,56;298,58
1,975;1,016;0,942;0,249;81,07;101,56;298,90
1,980;1,016;0,942;0,244;80,92;101,56;298,90
1,985;1,021;0,947;0,244;80,92;102,05;299,21
1,990;1,016;0,942;0,249;81,07;101,56;298,90
1,995;1,016;0,937;0,244;80,92;101,56;298,58
2,000;1,016;0,942;0,249;81,07;101,56;298,90
2,005;1,016;0,942;0,244;80,92;101,56;298,90
2,010;1,016;0,942;0,244;80,92;101,56;298,90
2,015;1,011;0,942;0,249;81,07;101,07;298,90
2,020;1,016;0,942;0,249;81,07;101,56;298,90
2,025;1,016;0,942;0,249;81,07;101,56;298,90
2,030;1,016;0,942;0,244;80,92;101,56;298,90
2,035;1,016;0,942;0,244;80,92;101,56;298,90
2,040;1,016;0,947;0,244;80,92;101,56;299,21
2,045;1,016;0,937;0,249;81,07;101,56;298,58
2,050;1,016;0,942;0,249;81,07;101,56;298,90
2,055;1,016;0,942;0,244;80,92;101,56;298,90
2,060;1,016;0,942;0,244;80,92;101,56;298,90
2,065;1,016;0,952;0,249;81,07;101,56;299,53
2,070;1,016;0,942;0,249;81,07;101,56;298,90
2,075;1,016;0,942;0,244;80,92;101,56;298,90
2,080;1,016;0,942;0,249;81,07;101,56;298,90
2,085;1,016;0,942;0,244;80,92;101,56;298,90
2,090;1,016;0,942;0,244;80,92;101,56;298,90
2,095;1,021;0,942;0,249;81,07;102,05;298,90
2,100;1,016;0,947;0,244;80,92;101,56;299,21
2,105;1,016;0,942;0,239;80,76;101,56;298,90
2,110;1,016;0,942;0,244;80,92;101,56;298,90
2,115;1,016;0,942;0,259;81,37;101,56;298,90
2,120;1,016;0,937;0,244;80,92;101,56;298,58
2,125;1,016;0,942;0,244;80,92;101,56;298,90
2,130;1,016;0,942;0,249;81,07;101,56;298,90
2,135;1,016;0,942;0,244;80,92;101,56;298,90
2,140;1,016;0,942;0,249;81,07;101,56;298,90
2,145;1,016;0,937;0,249;81,07;101,56;298,58
2,150;1,016;0,942;0,244;80,92;101,56;298,90
2,155;1,016;0,942;0,244;80,92;101,56;298,90
2,160;1,016;0,937;0,244;80,92;101,56;298,58
2,165;1,016;0,937;0,244;80,92;101,56;298,58
2,170;1,016;0,942;0,244;80,92;101,56;298,90
2,175;1,016;0,942;0,244;80,92;101,56;298,90
2,180;1,016;0,942;0,249;81,07;101,56;298,90
2,185;1,016;0,942;0,249;81,07;101,56;298,90
2,190;1,016;0,942;0,249;81,07;101,56;298,90
2,195;1,016;0,942;0,249;81,07;101,56;298,90
2,200;1,016;0,942;0,249;81,07;101,56;298,90
2,205;1,016;0,942;0,249;81,07;101,56;298,90
2,210;1,016;0,942;0,244;80,92;101,56;298,90
2,215;1,016;0,942;0,244;80,92;101,56;298,90
2,220;1,016;0,942;0,244;80,92;101,56;298,90
2,225;1,016;0,947;0,239;80,76;101,56;299,21
2,230;1,016;0,942;0,249;81,07;101,56;298,90
2,235;1,016;0,942;0,259;81,37;101,56;298,90
2,240;1,016;0,942;0,249;81,07;101,56;298,90
2,245;1,016;0,942;0,249;81,07;101,56;298,90
2,250;1,016;0,942;0,244;80,92;101,56;298,90
2,255;1,016;0,942;0,249;81,07;101,56;298,90
2,260;1,016;0,942;0,244;80,92;101,56;298,90
2,265;1,016;0,937;0,249;81,07;101,56;298,58
2,270;1,016;0,942;0,249;81,07;101,56;298,90
2,275;1,016;0,942;0,244;80,92;101,56;298,90
2,280;1,016;0,942;0,244;80,92;101,56;298,90
2,285;1,016;0,937;0,244;80,92;101,56;298,58
2,290;1,016;0,942;0,249;81,07;101,56;298,90
2,295;1,016;0,942;0,249;81,07;101,56;298,90
2,300;1,016;0,942;0,244;80,92;101,56;298,90
2,305;1,011;0,942;0,249;81,07;101,07;298,90
2,310;1,016;0,942;0,244;80,92;101,56;298,90
2,315;1,016;0,942;0,244;80,92;101,56;298,90
2,320;1,016;0,937;0,249;81,07;101,56;298,58
2,325;1,016;0,942;0,244;80,92;101,56;298,90
2,330;1,016;0,942;0,249;81,07;101,56;298,90
2,335;1,021;0,942;0,249;81,07;102,05;298,90
2,340;1,016;0,942;0,249;81,07;101,56;298,90
2,345;1,016;0,942;0,249;81,07;101,56;298,90
2,350;1,016;0,942;0,244;80,92;101,56;298,90
2,355;1,016;0,947;0,249;81,07;101,56;299,21
2,360;1,016;0,942;0,244;80,92;101,56;298,90
2,365;1,016;0,937;0,249;81,07;101,56;298,58
2,370;1,016;0,942;0,244;80,92;101,56;298,90
