Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
2,300;1,040;0,947;0,220;80,16;104,00;299,21
2,305;1,045;0,952;0,220;80,16;104,49;299,53
2,310;1,040;0,947;0,220;80,16;104,00;299,21
2,315;1,040;0,952;0,220;80,16;104,00;299,53
2,320;1,045;0,947;0,220;80,16;104,49;299,21
2,325;1,040;0,947;0,220;80,16;104,00;299,21
2,330;1,040;0,952;0,225;80,31;104,00;299,53
2,335;1,045;0,947;0,225;80,31;104,49;299,21
2,340;1,040;0,952;0,225;80,31;104,00;299,53
2,345;1,040;0,947;0,225;80,31;104,00;299,21
2,350;1,045;0,947;0,220;80,16;104,49;299,21
2,355;1,040;0,947;0,220;80,16;104,00;299,21
2,360;1,040;0,952;0,220;80,16;104,00;299,53
2,365;1,040;0,952;0,225;80,31;104,00;299,53
2,370;1,045;0,947;0,220;80,16;104,49;299,21
