Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
2,205;1,001;0,942;0,264;81,53;100,10;298,90
2,210;1,001;0,942;0,264;81,53;100,10;298,90
2,215;0,996;0,942;0,264;81,53;99,61;298,90
2,220;1,001;0,942;0,264;81,53;100,10;298,90
2,225;0,996;0,942;0,264;81,53;99,61;298,90
2,230;1,001;0,942;0,264;81,53;100,10;298,90
2,235;1,001;0,942;0,264;81,53;100,10;298,90
2,240;1,001;0,942;0,264;81,53;100,10;298,90
2,245;1,001;0,942;0,264;81,53;100,10;298,90
2,250;0,996;0,942;0,264;81,53;99,61;298,90
2,255;1,006;0,942;0,264;81,53;100,59;298,90
2,260;0,996;0,942;0,269;81,68;99,61;298,90
2,265;1,001;0,942;0,264;81,53;100,10;298,90
2,270;1,001;0,942;0,264;81,53;100,10;298,90
2,275;0,996;0,962;0,264;81,53;99,61;300,17
2,280;1,001;0,942;0,264;81,53;100,10;298,90
2,285;1,001;0,942;0,264;81,53;100,10;298,90
2,290;1,001;0,942;0,264;81,53;100,10;298,90
2,295;1,001;0,942;0,264;81,53;100,10;298,90
2,300;0,996;0,942;0,264;81,53;99,61;298,90
2,305;1,001;0,942;0,264;81,53;100,10;298,90
2,310;1,001;0,942;0,264;81,53;100,10;298,90
2,315;0,996;0,942;0,264;81,53;99,61;298,90
2,320;1,001;0,942;0,273;81,83;100,10;298,90
2,325;0,996;0,942;0,264;81,53;99,61;298,90
2,330;1,001;0,942;0,264;81,53;100,10;298,90
2,335;1,001;0,942;0,264;81,53;100,10;298,90
2,340;1,001;0,942;0,264;81,53;100,10;298,90
2,345;1,001;0,942;0,264;81,53;100,10;298,90
2,350;1,001;0,942;0,264;81,53;100,10;298,90
2,355;1,001;0,942;0,264;81,53;100,10;298,90
2,360;1,001;0,942;0,264;81,53;100,10;298,90
2,365;0,996;0,942;0,264;81,53;99,61;298,90
2,370;1,001;0,942;0,264;81,53;100,10;298,90
