Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
2,155;1,240;1,050;2,979;166,23;124,02;305,89
2,160;1,240;1,040;2,983;166,38;124,02;305,26
2,165;1,240;1,055;2,979;166,23;124,02;306,21
2,170;1,235;1,050;2,979;166,23;123,54;305,89
2,175;1,240;1,050;2,979;166,23;124,02;305,89
2,180;1,240;1,050;2,983;166,38;124,02;305,89
2,185;1,240;1,050;2,979;166,23;124,02;305,89
2,190;1,240;1,055;2,983;166,38;124,02;306,21
2,195;1,235;1,055;2,979;166,23;123,54;306,21
2,200;1,240;1,050;2,979;166,23;124,02;305,89
2,205;1,235;1,050;2,979;166,23;123,54;305,89
2,210;1,240;1,050;2,983;166,38;124,02;305,89
2,215;1,240;1,055;2,979;166,23;124,02;306,21
2,220;1,240;1,055;2,979;166,23;124,02;306,21
2,225;1,240;1,050;2,979;166,23;124,02;305,89
2,230;1,235;1,050;2,979;166,23;123,54;305,89
2,235;1,240;1,050;2,983;166,38;124,02;305,89
2,240;1,240;1,045;2,979;166,23;124,02;305,58
2,245;1,240;1,045;2,979;166,23;124,02;305,58
2,250;1,240;1,045;2,983;166,38;124,02;305,58
2,255;1,235;1,050;2,979;166,23;123,54;305,89
2,260;1,240;1,045;2,979;166,23;124,02;305,58
2,265;1,235;1,045;2,979;166,23;123,54;305,58
2,270;1,235;1,045;2,979;166,23;123,54;305,58
2,275;1,235;1,045;2,983;166,38;123,54;305,58
2,280;1,235;1,045;2,979;166,23;123,54;305,58
2,285;1,240;1,045;2,979;166,23;124,02;305,58
2,290;1,235;1,045;2,983;166,38;123,54;305,58
2,295;1,235;1,045;2,979;166,23;123,54;305,58
2,300;1,235;1,045;2,983;166,38;123,54;305,58
2,305;1,235;1,045;2,983;166,38;123,54;305,58
2,310;1,240;1,040;2,974;166,08;124,02;305,26
2,315;1,230;1,045;2,979;166,23;123,05;305,58
2,320;1,240;1,045;2,979;166,23;124,02;305,58
2,325;1,235;1,045;2,979;166,23;123,54;305,58
2,330;1,235;1,040;2,983;166,38;123,54;305,26
2,335;1,235;1,040;2,983;166,38;123,54;305,26
2,340;1,235;1,040;2,983;166,38;123,54;305,26
2,345;1,240;1,040;2,979;166,23;124,02;305,26
2,350;1,235;1,040;2,983;166,38;123,54;305,26
2,355;1,235;1,035;2,979;166,23;123,54;304,94
2,360;1,235;1,035;2,983;166,38;123,54;304,94
2,365;1,235;1,035;2,979;166,23;123,54;304,94
2,370;1,240;1,035;2,979;166,23;124,02;304,94
