Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,175;1,030;0,947;4,512;214,07;103,03;299,21
1,180;1,025;0,942;4,517;214,22;102,54;298,90
1,185;1,030;0,942;4,512;214,07;103,03;298,90
1,190;1,035;0,942;4,517;214,22;103,52;298,90
1,195;1,030;0,947;4,512;214,07;103,03;299,21
1,200;1,025;0,947;4,512;214,07;102,54;299,21
1,205;1,030;0,942;4,512;214,07;103,03;298,90
1,210;1,025;0,947;4,517;214,22;102,54;299,21
1,215;1,030;0,942;4,517;214,22;103,03;298,90
1,220;1,030;0,942;4,517;214,22;103,03;298,90
1,225;1,030;0,947;4,512;214,07;103,03;299,21
1,230;1,030;0,952;4,512;214,07;103,03;299,53
1,235;1,025;0,947;4,517;214,22;102,54;299,21
1,240;1,030;0,942;4,512;214,07;103,03;298,90
1,245;1,030;0,947;4,517;214,22;103,03;299,21
1,250;1,030;0,947;4,497;213,61;103,03;299,21
1,255;1,030;0,942;4,517;214,22;103,03;298,90
1,260;1,025;0,942;4,517;214,22;102,54;298,90
1,265;1,030;0,942;4,517;214,22;103,03;298,90
1,270;1,030;0,942;4,517;214,22;103,03;298,90
1,275;1,030;0,942;4,517;214,22;103,03;298,90
1,280;1,030;0,947;4,512;214,07;103,03;299,21
1,285;1,030;0,947;4,517;214,22;103,03;299,21
1,290;1,035;0,947;4,512;214,07;103,52;299,21
1,295;1,025;0,942;4,512;214,07;102,54;298,90
1,300;1,030;0,947;4,512;214,07;103,03;299,21
1,305;1,025;0,942;4,517;214,22;102,54;298,90
1,310;1,030;0,942;4,512;214,07;103,03;298,90
1,315;1,030;0,947;4,517;214,22;103,03;299,21
1,320;1,030;0,947;4,517;214,22;103,03;299,21
1,325;1,030;0,947;4,517;214,22;103,03;299,21
1,330;1,030;0,937;4,517;214,22;103,03;298,58
1,335;1,030;0,947;4,512;214,07;103,03;299,21
1,340;1,025;0,937;4,517;214,22;102,54;298,58
1,345;1,030;0,947;4,512;214,07;103,03;299,21
1,350;1,030;0,947;4,512;214,07;103,03;299,21
1,355;1,030;0,942;4,512;214,07;103,03;298,90
1,360;1,030;0,947;4,512;214,07;103,03;299,21
1,365;1,030;0,937;4,512;214,07;103,03;298,58
1,370;1,030;0,942;4,517;214,22;103,03;298,90
1,375;1,025;0,947;4,517;214,22;102,54;299,21
1,380;1,030;0,947;4,502;213,76;103,03;299,21
1,385;1,030;0,947;4,521;214,37;103,03;299,21
