Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,620;1,016;0,937;4,473;212,85;101,56;298,58
1,625;1,016;0,937;4,473;212,85;101,56;298,58
1,630;1,016;0,942;4,473;212,85;101,56;298,90
1,635;1,016;0,937;4,473;212,85;101,56;298,58
1,640;1,016;0,942;4,473;212,85;101,56;298,90
1,645;1,016;0,942;4,473;212,85;101,56;298,90
1,650;1,016;0,942;4,473;212,85;101,56;298,90
1,655;1,016;0,942;4,473;212,85;101,56;298,90
1,660;1,021;0,942;4,468;212,69;102,05;298,90
1,665;1,016;0,942;4,473;212,85;101,56;298,90
1,670;1,016;0,937;4,473;212,85;101,56;298,58
1,675;1,016;0,937;4,473;212,85;101,56;298,58
1,680;1,016;0,942;4,473;212,85;101,56;298,90
1,685;1,021;0,937;4,473;212,85;102,05;298,58
1,690;1,021;0,942;4,468;212,69;102,05;298,90
1,695;1,016;0,942;4,463;212,54;101,56;298,90
1,700;1,016;0,937;4,473;212,85;101,56;298,58
1,705;1,021;0,937;4,468;212,69;102,05;298,58
1,710;1,016;0,942;4,473;212,85;101,56;298,90
1,715;1,016;0,937;4,468;212,69;101,56;298,58
1,720;1,016;0,942;4,473;212,85;101,56;298,90
1,725;1,016;0,942;4,468;212,69;101,56;298,90
1,730;1,016;0,942;4,463;212,54;101,56;298,90
1,735;1,016;0,937;4,468;212,69;101,56;298,58
1,740;1,016;0,937;4,468;212,69;101,56;298,58
1,745;1,021;0,942;4,463;212,54;102,05;298,90
1,750;1,016;0,942;4,458;212,39;101,56;298,90
1,755;1,021;0,942;4,463;212,54;102,05;298,90
1,760;1,016;0,942;4,463;212,54;101,56;298,90
1,765;1,016;0,937;4,458;212,39;101,56;298,58
1,770;1,021;0,937;4,458;212,39;102,05;298,58
1,775;1,021;0,942;4,458;212,39;102,05;298,90
1,780;1,021;0,942;4,453;212,24;102,05;298,90
1,785;1,021;0,942;4,453;212,24;102,05;298,90
1,790;1,016;0,942;4,443;211,93;101,56;298,90
1,795;1,021;0,942;4,443;211,93;102,05;298,90
1,800;1,021;0,942;4,443;211,93;102,05;298,90
1,805;1,025;0,942;4,443;211,93;102,54;298,90
1,810;1,025;0,942;4,438;211,78;102,54;298,90
1,815;1,021;0,942;4,438;211,78;102,05;298,90
1,820;1,025;0,942;4,438;211,78;102,54;298,90
1,825;1,025;0,947;4,434;211,63;102,54;299,21
1,830;1,021;0,942;4,434;211,63;102,05;298,90
1,835;1,025;0,942;4,434;211,63;102,54;298,90
1,840;1,025;0,942;4,434;211,63;102,54;298,90
1,845;1,021;0,942;4,434;211,63;102,05;298,90
1,850;1,025;0,942;4,429;211,48;102,54;298,90
1,855;1,025;0,942;4,434;211,63;102,54;298,90
1,860;1,025;0,942;4,434;211,63;102,54;298,90
1,865;1,025;0,947;4,434;211,63;102,54;299,21
1,870;1,021;0,942;4,429;211,48;102,05;298,90
1,875;1,025;0,942;4,429;211,48;102,54;298,90
1,880;1,021;0,942;4,429;211,48;102,05;298,90
1,885;1,025;0,942;4,434;211,63;102,54;298,90
1,890;1,025;0,942;4,429;211,48;102,54;298,90
1,895;1,021;0,942;4,429;211,48;102,05;298,90
1,900;1,025;0,942;4,429;211,48;102,54;298,90
1,905;1,025;0,947;4,429;211,48;102,54;299,21
1,910;1,021;0,947;4,424;211,32;102,05;299,21
1,915;1,025;0,942;4,414;211,02;102,54;298,90
1,920;1,021;0,947;4,434;211,63;102,05;299,21
1,925;1,025;0,942;4,434;211,63;102,54;298,90
1,930;1,025;0,947;4,429;211,48;102,54;299,21
1,935;1,021;0,947;4,434;211,63;102,05;299,21
1,940;1,025;0,947;4,429;211,48;102,54;299,21
1,945;1,025;0,942;4,429;211,48;102,54;298,90
1,950;1,021;0,942;4,434;211,63;102,05;298,90
